"","feeding","pipe","q_l_s","Re","f","group"
"1","E01","cup18",1e-01,6067.81,2.52e-02,"g01"
"2","E01","cup18",0.18,11321.08,2.07e-02,"g01"
"3","E01","cup18",0.41,26201.68,1.97e-02,"g01"
"4","E01","cup18",0.68,43145.19,2.22e-02,"g01"
"5","E01","cup18",0.76,47893.12,2.06e-02,"g01"
"6","E01","cup18",0.89,56558.13,2.02e-02,"g01"
"7","E01","cup18",1.02,64233.62,1.92e-02,"g01"
"8","E01","cup18",1.1,69667.2,1.94e-02,"g01"
"9","E01","cup18",1.19,74995.08,1.89e-02,"g01"
"10","E01","cup18",1.24,78689.78,1.95e-02,"g01"
"11","E01","cup18",1.33,84300.74,1.87e-02,"g01"
"12","E01","cup18",1.31,82772.82,2.09e-02,"g01"
"13","E01","cup18",1.1,69500.32,2.18e-02,"g01"
"14","E01","cup18",0.78,49550.21,2.25e-02,"g01"
"15","E02","cup18",1.29,81765.22,2.12e-02,"g02"
"16","E02","cup18",1.23,78061.77,2.14e-02,"g02"
"17","E02","cup18",1.17,73782,2.16e-02,"g02"
"18","E02","cup18",1.11,70401.27,2.16e-02,"g02"
"19","E02","cup18",1.05,66708.57,2.13e-02,"g02"
"20","E02","cup18",0.98,61970.13,2.14e-02,"g02"
"21","E02","cup18",9e-01,56846.18,2.18e-02,"g02"
"22","E02","cup18",0.79,49961.17,2.16e-02,"g02"
"23","E02","cup18",0.65,40850.92,2.18e-02,"g02"
"24","E02","cup18",0.46,28952.17,2.27e-02,"g02"
"25","E02","cup18",0.27,16816.07,2.57e-02,"g02"
"26","E02","cup18",0.21,13025.3,2.97e-02,"g02"
"27","E01","pvc12",0.65,52401.51,2.76e-02,"g03"
"28","E01","pvc12",6e-01,48637.83,2.86e-02,"g03"
"29","E01","pvc12",0.56,45463.91,2.83e-02,"g03"
"30","E01","pvc12",0.51,41017.02,2.97e-02,"g03"
"31","E01","pvc12",0.46,37302.01,2.99e-02,"g03"
"32","E01","pvc12",0.42,34037.92,3.02e-02,"g03"
"33","E01","pvc12",0.35,28130.6,3.15e-02,"g03"
"34","E01","pvc12",0.29,23337.61,3.42e-02,"g03"
"35","E01","pvc12",0.23,18531.63,3.36e-02,"g03"
"36","E01","pvc12",0.18,14567.9,3.44e-02,"g03"
"37","E01","pvc12",0.13,10129.23,5.17e-02,"g03"
"38","E01","pvc18",1.66,89781.53,2.08e-02,"g04"
"39","E01","pvc18",1.57,85201.27,2.12e-02,"g04"
"40","E01","pvc18",1.49,80668.86,2.16e-02,"g04"
"41","E01","pvc18",1.39,75055.59,2.28e-02,"g04"
"42","E01","pvc18",1.28,69249.2,2.29e-02,"g04"
"43","E01","pvc18",1.18,64004.25,2.28e-02,"g04"
"44","E01","pvc18",1.11,60228.54,2.23e-02,"g04"
"45","E01","pvc18",1,53851.05,2.29e-02,"g04"
"46","E01","pvc18",0.89,48127.48,2.41e-02,"g04"
"47","E01","pvc18",0.74,39890.4,2.56e-02,"g04"
"48","E01","pvc18",0.45,24416.63,3.47e-02,"g04"
